Comment,Designator,Footprint,LCSC Part #
"LED-BLUE-0603","D105, D109, D110, D111, D112, D113, D114, D115, D116, D602","LED-0603","C72041"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"BAT54S","VD100, VD101, VD102, VD103","SOT-23","C47546"
"AO3401A","Q100, Q102","SOT-23","C15127"
"AO3400A","Q101, Q103","SOT-23","C20917"
"680k","R201, R202, R205, R206, R221, R222, R225, R226","R0402","C163456"
"510","R133, R134","R0603","C23193"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"120","R100, R430","R0603","C22787"
"100n","C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222, C601, C602, C605, C608, C612, C613, C614, C615, C617, C618","C0402","C1525"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"33k","R120","R0603","C4216"
"32.768 kHz","Y101","SMD2012","C99009"
"DNP","C123","C0603",""
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10k","R129, R130, R140","R0603-4","C29718"
"10","R110, R111, R112, R113, R114, R115, R116, R117, R606","R0402","C25077"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147","R0402","C25879"
"1u","C133","C0603","C519560"
"1n","C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228","C0402","C1523"
"0","R131, R143, R145, R148","R0402","C17168"
"33n","C603","C0402","C1585"
"DNP","C604","C0402",""
"DNP","C606","C0402",""
"VND7NV04TR-E","Q600","DPAK","C155605"
"VNP28N04-E","Q601","TO-220-3_Vertical",""
"1k","R600, R601, R616, R617, R622, R626, R627, R628","R0402","C11702"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"100k","R615, R621, R471, R473, R471_2, R473_2","R0402","C25741"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"DNP","R629","R0402",""
"DNP","R630","R0402",""
"AD8628","U601","TSOT23-5","C29309"
"STM32F042K6Tx","U602","LQFP32","C69216"
"XC6206P332MR","U604","SOT-23","C5446"
"100n","C430, C431, C440","C0603","C14663"
"TJA1021T/20/CM","U440","SO8","C128810"
"3.3n","C471, C471_2","C0402","C26404"
"330p","C472, C472_2","C0402","C13533"
"47p","C473, C473_2","C0402","C1567"
"680p","C474, C474_2","C0603","C1630"
"470k","R470, R470_2","R0402","C25790"
"LMV321IDBVR","U470, U471, U470_2, U471_2","SOT23-5","C7972"
